62,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,South Georgia and the South Sandwich Isl
63,TUVALU,Tuvalu
64,TOKELAU,Tokelau
65,FRENCH POLYNESIA,French Polynesia
66,FRENCH SOUTHERN TERRITORIES,French Southern Territories
67,SAMOA,Independent State of Samoa
68,"MICRONESIA,FEDERATED STATES OF",Federated States of Micronesia
69,WALLIS AND FUTUNA,Wallis and Futuna
70,COCOS(KEELING) ISLANDS,Cocos (Keeling) Islands
71,PRINCE EDWARD ISLAND,Prince Edward Island
72,NEW ZEALAND,New Zealand
73,WAKE ISLAND,United States Of America
74,ALGERIA,Democratic People
75,TUNISIA,Republic of Tunisia
76,LIBYA,Great Socialist People
77,MOROCCO,Kingdom of Morocco
78,EGYPT,Arab Republic of Egypt
79,WESTERN SAHARA,Western Sahara
80,MALI,Republic of Mali
81,MAURITANIA,Islamic Republic of Mauritania
82,NIGER,Republic of Niger
83,SUDAN,Republic of the Sudan
84,SENEGAL,Republic of Senegal
85,CAPE VERDE,Republic of Cape Verde
86,ETHIOPIA,Federal Democratic Republic of Ethiopia
87,GAMBIA,Republic of the Gambia
88,BURKINA FASO,Burkina Faso
89,ERITREA,State of Eritrea
90,GUINEA-BISSAU,Republic of Guinea-Bissau
91,DJIBOUTI,Republic of Djibouti
92,GUINEA,Republic of Guinea
93,CHAD,Republic of Chad
94,NIGERIA,Federal Republic of Nigeria
95,COTE Dl IVOIRE,Republic of Cote df Ivoire
96,CENTRAL AFRICAN REPUBLIC,Central African Republic
97,GHANA,Republic of Ghana
98,SIERRA LEONE,Republic of Sierra Leone
99,BENIN,Republic of Benin
100,TOGO,Republic of Togo
101,LIBERIA,Republic of Liberia
102,CAMEROON,Republic of Cameroon
103,UGANDA,Republic of Uganda
104,EQUATORIAL GUINEA,Republic of Equatorial Guinea
105,CONGO,Republic of Congo
106,SAO TOME AND PRINCIPE,Democratic Republic of Sao Tome and Prin
107,GABON,Gabonese Republic
108,SOMALIA,Somalia Republic
109,RWANDA,Republic of Rwanda
110,KENYA,Republic of Kenya
111,"CONGO,THE DEMOCRATIC REPUBLIC OF THE",Democratic Republic of Congo
112,BURUNDI,Republic of Burundi
113,TANZANIA,United Republic of Tanzania
114,ANGOLA,Angola
115,SEYCHELLES,Republic of Seychelles
116,MALAWI,Republic of Malawi
117,MAYOTTE,Mayotte
118,ZAMBIA,Republic of Zambia
119,MADAGASCAR,Republic of Madagascar
120,MOZAMBIQUE,Republic of Mozambique
121,MAURITIUS,Republic of Mauritius
122,ZIMBABWE,Republic of Zimbabwe
123,REUNION,Reunion
124,NAMIBIA,Republic of Namibia
125,BOTSWANA,Republic of Botswana
126,SWAZILAND,Kingdom of Swaziland
127,LESOTHO,Kingdom of Lesotho
128,SOUTH AFRICA,Republic of South Africa
129,SAINT HELENA,Saubt Helena
130,COMOROS,Comoros
131,CANARIAS,Kingdom of Spain
132,MADEIRA,Portuguess Republic
133,VENEZUELA,Republic of Venezuela
134,GUYANA,Guyana
135,SURINAME,Republic of Suriname
136,FRENCH GUIANA,French Guiana
137,ECUADOR,Republic of Ecuador
138,BRAZIL,Federative Republic of Brazil
139,BOLIVIA,Republic of Bolivia
140,PERU,Republic of Peru
141,PARAGUAY,Republic of Paraguay
142,ARGENTINA,Argentina
143,URUGUAY,Oriental Republic of Uruguay
144,CHILE,Republic of Chile
145,FALKLAND ISLANDS(MALVINAS),Falkland Islands (Malvinas)
146,COLOMBIA,Republic of Colombia
147,SVALBARD AND JAN MAYEN,Svalbard and Jan Mayen
148,RUSSIAN FEDERATION,Russian Federation
149,SWEDEN,Kingdom of Sweden
150,ICELAND,Republic of Iceland
151,NORWAY,Kingdom of Norway
152,FAROE ISLANDS,Faroe Islands
153,FINLAND,Republic of Finland
154,UNITED KINGDOM,United Kingdom of Great Britain and Nort
155,ESTONIA,Estonia
156,LATVIA,Republic of Latvia
157,LITHUANIA,Republic of Lithuania
158,DENMARK,Kingdom of Denmark
159,BELARUS,Repubic of Belarus
160,GERMANY,Federal Republic of Germany
161,NETHERLANDS,Kingdom of the Netherlands
162,POLAND,Republic of Poland
163,IRELAND,Ireland
164,BELGIUM,Kingdom of Belgium
165,FRANCE,France Republic
166,LUXEMBOURG,Grand Duchy of Luxembourg
167,CZECH REPUBLIC,Czech Republic
168,SLOVAKIA,Slovakia Republic
169,MOLDOVA,Republic of Moldova
170,AUSTRIA,Republic of Austria
171,HUNGARY,Republic of Hungary
172,SWITZERLAND,Switzerland
173,LIECHTENSTEIN,Principality of Liechtenstein
174,SLOVENIA,Republic of Slovenia
175,ROMANIA,Romania
176,SERBIA,Republic of Serbia
177,UKRAINE,Ukraine
178,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina
179,CROATIA,Republic of Croatia
180,SAN MARINO,Republic of San Marino
181,MONACO,Principality of Monaco
182,ITALY,Italian Republic
183,BULGARIA,Republic of Bulgaria
184,ANDORRA,Andorra
185,"MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF",The former Yugoslav Republic of Macedoni
186,MONTENEGRO,Reoublic of Montenegro
187,VATICAN,Vatican City State
188,ALBANIA,Albania
189,GREECE,Hellenic Republic
190,GIBRALTAR,Gibraltar
191,MALTA,Republic of Malta
192,PORTUGAL,Portuguess Republic
193,SPAIN,Kingdom of Spain
195,TURKMENISTAN,Turkmenistan
197,KYRGYZSTAN,KyrgyzSTRepublic
198,ARMENIA,Republic of Armenia
199,SYRIAN ARAB REPUBLIC,Syrian Arab Republic
200,LEBANON,Lebanese Republic
201,AFGHANISTAN,Afghanistan
202,IRAQ,Republic of Iraq
203,KUWAIT,State of Kuwait
204,NEPAL,Kingdom of Nepal
205,BHUTAN,Kingdom of Bhutan
206,LAOS,Lao People
207,MALDIVES,Republic of Maldives
208,BRUNEI,Brunei Darussalam
209,EAST TIMOR,East Timor
210,CHRISTMAS ISLAND,Christmas Island
211,MONGOLIA,Mongolia
213,JORDAN,Hashemite Kingdom of Jordan
214,BAHRAIN,State of Bahrain
215,QATAR,State of Qatar
216,GEORGIA,Georgia
217,ISRAEL,State of Israel
218,CYPRUS,Republic of Cyprus
219,IRAN,Islamic Republic of Iran
220,PAKISTAN,Islamic Republic of Pakistan
221,AZERBAIJAN,Republic of Azerbaijan
222,YEMEN,Republic of Yemen
223,BANGLADESH,People
224,SINGAPORE,Republic of Singapore
225,KAZAKHSTAN,Republic of Kazakhstan
226,AREA UNDER DISPUTE,Area Under Dispute
227,CAMBODIA,Kingdom of Cambodia
228,SRILANKA,Democratic Socialist Republic of Sri Lan
229,BRITISH INDIAN OCEAN TERRITORY,British Indian Ocean Territory
230,TAJIKISTAN,Republic of Tajikistan
231,SAUDI ARABIA,Kingdom of Saudi Arabia
232,MYANMAR,Union of Myanmar
233,JAPAN,Japan
234,"KOREA, REPUBLIC OF",Republic of Korea
235,UNITED ARAB EMIRATES,United Arab Emirates
236,MALAYSIA,Malaysia
237,INDIA,Republic of Indonesia
238,INDONESIA,Republic of Indonesia
239,PHILIPPINES,Republic of Philippines
240,OMAN,Sultanate of Oman
241,THAILAND,Kingdom of Thailand
242,UZBEKISTAN,Republic of Uzbekistan
243,TURKEY,Republic of Turkey
244,"KOREA,DEMOCRATIC PEOPLE'S REPUBLIC OF",Democratic People
246,VIET NAM,Socialist Republic of Viet Nam
247,CHINA,Peoples Republic of China
