63,图瓦卢,图瓦卢
64,托克劳,托克劳
65,法属波利尼西亚,法属波利尼西亚
66,法国南部地区,法属南部领地
67,萨摩亚,萨摩亚独立国
68,密克罗尼西亚,联邦国
69,瓦利斯和富尔塔纳,瓦利斯和富图纳群岛
70,科科斯（基林）群岛,科科斯（基林）群岛
71,爱德华王子岛,爱德华王子岛
72,新西兰,新西兰
73,唤醒岛,美国
74,阿尔及利亚,民主人民
75,突尼斯,突尼斯共和国
76,利比亚,社会主义伟大人民
77,摩洛哥,摩洛哥王国
78,埃及,埃及阿拉伯共和国
79,西撒哈拉,西撒哈拉
80,马里,马里共和国
81,毛里塔尼亚,毛里塔尼亚伊斯兰共和国
82,尼日尔,尼日尔共和国
83,苏丹,苏丹共和国
84,塞内加尔,塞内加尔共和国
85,佛得角,佛得角共和国
86,埃塞俄比亚,埃塞俄比亚联邦民主共和国
87,冈比亚,冈比亚共和国
88,布基纳法索,布基纳法索
89,厄立特里亚,厄立特里亚国
90,几内亚比绍,几内亚比绍共和国
91,吉布提,吉布提共和国
92,几内亚,几内亚共和国
93,乍得,乍得共和国
94,尼日利亚,尼日利亚联邦共和国
95,科特迪瓦,科特迪瓦科特迪瓦共和国
96,中非共和国,中非共和国
97,加纳,加纳共和国
98,塞拉利昂,塞拉利昂共和国
99,贝宁,贝宁共和国
100,多哥,多哥共和国
101,利比里亚,利比里亚共和国
102,喀麦隆,喀麦隆共和国
103,乌干达,乌干达共和国
104,赤道几内亚,赤道几内亚共和国
105,刚果,刚果共和国
106,圣多美和普林西比,圣多美和普林民主共和国
107,加蓬,加蓬共和国
108,索马里,索马里共和国
109,卢旺达,卢旺达共和国
110,肯尼亚,肯尼亚共和国
111,刚果,民主共和国
112,布隆迪,布隆迪共和国
113,坦桑尼亚,坦桑尼亚联合共和国
114,安哥拉,安哥拉
115,塞舌尔,塞舌尔共和国
116,马拉维,马拉维共和国
117,蛋黄酱,马约特岛
118,赞比亚,赞比亚共和国
119,马达加斯加,马达加斯加共和国
120,莫桑比克,莫桑比克共和国
121,毛里求斯,毛里求斯共和国
122,津巴布韦,津巴布韦共和国
123,团圆,团圆
124,纳米比亚,纳米比亚共和国
125,博茨瓦纳,博茨瓦纳共和国
126,斯威士兰,斯威士兰王国
127,莱索托,莱索托王国
128,南非,南非共和国
129,圣海伦娜,圣海伦娜
130,科摩罗,科摩罗
131,加那利,西班牙王国
132,马德拉,葡萄牙共和国
133,委内瑞拉,委内瑞拉共和国
134,瓜亚那,圭亚那
135,苏里南,苏里南共和国
136,法属圭亚那,法属圭亚那
137,厄瓜多尔,厄瓜多尔共和国
138,巴西,巴西联邦共和国
139,玻利维亚,玻利维亚共和国
140,秘鲁,秘鲁共和国
141,巴拉圭,巴拉圭共和国
142,阿根廷,阿根廷
143,乌拉圭,乌拉圭东方共和国
144,智利,智利共和国
145,福克兰群岛（马尔维纳斯）,福克兰群岛（马尔维纳斯）
146,哥伦比亚,哥伦比亚共和国
147,斯瓦尔巴德和简·梅恩,斯瓦尔巴和扬·马延
148,俄罗斯联邦,俄罗斯联邦
149,瑞典,瑞典王国
150,冰岛,冰岛共和国
151,挪威,挪威王国
152,法罗群岛,法罗群岛
153,芬兰,芬兰共和国
154,英国,大不列颠及北联合王国
155,爱沙尼亚,爱沙尼亚
156,拉脱维亚,拉脱维亚共和国
157,立陶宛,立陶宛共和国
158,丹麦,丹麦王国
159,白俄罗斯,白俄罗斯共和国
160,德国,德意志联邦共和国
161,荷兰,荷兰王国
162,波兰,波兰共和国
163,爱尔兰,爱尔兰
164,比利时,比利时王国
165,法国,法兰西共和国
166,卢森堡,卢森堡大公国
167,捷克共和国,捷克共和国
168,斯洛伐克,斯洛伐克共和国
169,摩尔多瓦,摩尔多瓦共和国
170,奥地利,奥地利共和国
171,匈牙利,匈牙利共和国
172,瑞士,瑞士
173,列支敦士登,列支敦士登公国
174,斯洛文尼亚语,斯洛文尼亚共和国
175,罗马尼亚,罗马尼亚
176,塞尔维亚,塞尔维亚共和国
177,乌克兰,乌克兰
178,波斯尼亚和黑塞哥维那（简称：波黑,波斯尼亚和黑塞哥维那（简称：波黑
179,克罗地亚,克罗地亚共和国
180,圣马力诺,圣马力诺共和国
181,摩纳哥,摩纳哥公国
182,意大利,意大利共和国
183,保加利亚,保加利亚共和国
184,安道尔,安道尔
185,马其顿,前南斯拉夫共和国
186,黑山,黑山共和国
187,教廷,梵蒂冈城国
188,阿尔巴尼亚,阿尔巴尼亚
189,希腊,希腊共和国
190,吉拉塔尔,直布罗陀
191,马耳他,马耳他共和国
192,葡萄牙,葡萄牙共和国
193,西班牙,西班牙王国
195,土库曼斯坦,土库曼斯坦
197,吉尔吉斯斯坦,吉尔吉斯斯坦
198,亚美尼亚,亚美尼亚共和国
199,阿拉伯叙利亚共和国,阿拉伯叙利亚共和国
200,黎巴嫩,黎巴嫩共和国
201,阿富汗,阿富汗
202,伊拉克,伊拉克共和国
203,科威特,科威特国
204,尼泊尔,尼泊尔王国
205,不丹,不丹王国
206,老挝,老挝人民
207,马尔代夫,马尔代夫共和国
208,文莱,文莱达鲁萨兰国
209,东帝汶,东帝汶
210,圣诞岛,圣诞岛
211,蒙古,蒙古
213,约旦,约旦哈希姆王国
214,巴林,巴林国
215,卡塔尔,卡塔尔国
216,格鲁吉亚,佐治亚州
217,以色列,以色列国
218,塞浦路斯,塞浦路斯共和国
219,伊朗,伊朗伊斯兰共和国
220,巴基斯坦,巴基斯坦伊斯兰共和国
221,阿塞拜疆,阿塞拜疆共和国
222,也门,也门共和国
223,孟加拉国,人
224,新加坡,新加坡共和国
225,哈萨克斯坦,哈萨克斯坦共和国
226,争议区域,争议地区
227,柬埔寨,柬埔寨王国
228,斯里兰卡,斯里兰民主社会主义共和国
229,英属印度洋领地,英属印度洋领地
230,塔吉克斯坦,塔吉克斯坦共和国
231,沙特阿拉伯,沙特阿拉伯王国
232,缅甸,缅甸联盟
233,日本,日本
234,韩国,共和国
235,阿拉伯联合酋长国,阿拉伯联合酋长国
236,马来西亚,马来西亚
237,印度,印尼共和国
238,印度尼西亚,印尼共和国
239,菲律宾,菲律宾共和国
240,阿曼,阿曼苏丹国
241,泰国,泰王国
242,乌兹别克斯坦,乌兹别克斯坦共和国
243,火鸡,土耳其共和国
244,韩国,民主人民共和国
246,越南,越南社会主义共和国
247,中国,中华人民共和国
